step,wallclock_s,n_sched,lambda_disc_active,gamma_disc,gamma_disc_active,target_rhs,sigma,sigma_pi,L_R,L_A,L_C,L_V_total,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,L_lg_raw,lg_min,lg_median,lg_degen_frac,grad_norm_pi,grad_leak_VS_from_Lpi,proj_mag_ema,sigma_pin_counter,abs_action_mean,abs_action_max,satfrac_a_phi
8200,276.4717402458191,16,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008462438359856606,0.0,0.0,0.008462438359856606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13278967142105103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8400,279.9736831188202,16,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008224131539463997,0.0,0.0,0.008224131539463997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607072651386261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600,285.8802788257599,17,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.008161083795130253,0.0,0.0,0.008161083795130253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13156050443649292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8800,289.3739619255066,17,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007554993964731693,0.0,0.0,0.007554993964731693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031639572232961655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000,292.86765456199646,17,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007732058875262737,0.0,0.0,0.007732058875262737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09271534532308578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9200,317.29591965675354,18,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007615663111209869,0.0,0.0,0.007615663111209869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023125767707824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9400,320.79990577697754,18,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007517147343605757,0.0,0.0,0.007517147343605757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06901432573795319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9600,326.5668148994446,19,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.0077191246673464775,0.0,0.0,0.0077191246673464775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05514035001397133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9800,330.06556129455566,19,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007715458050370216,0.0,0.0,0.007715458050370216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14063487946987152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,333.5612578392029,19,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007350223604589701,0.0,0.0,0.007350223604589701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06661716848611832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10200,339.58483624458313,20,1.0258658877510114,0.95,0.95,0.0,0.0,0.0,0.007466040551662445,0.0,0.0,0.007466040551662445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03794259950518608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
